id,sku,tags,brand,price,stock,title,rating,weight,reviews,category,description,discountPercentage,_airbyte_raw_id,_airbyte_extracted_at,Average_Rating,Dim,FinalPrice
1.0,RCH45Q1A,"beauty, mascara",Essence,10.0,5.0,Essence Mascara Lash Princess,4.94,2.0,"[{'date': '2024-05-23T08:56:21.618Z', 'rating': 2, 'comment': 'Very unhappy with my purchase!', 'reviewerName': 'John Doe', 'reviewerEmail': 'john.doe@x.dummyjson.com'}, {'date': '2024-05-23T08:56:21.618Z', 'rating': 2, 'comment': 'Not as described!', 'reviewerName': 'Nolan Gonzalez', 'reviewerEmail': 'nolan.gonzalez@x.dummyjson.com'}, {'date': '2024-05-23T08:56:21.618Z', 'rating': 5, 'comment': 'Very satisfied!', 'reviewerName': 'Scarlett Wright', 'reviewerEmail': 'scarlett.wright@x.dummyjson.com'}]",beauty,The Essence Mascara Lash Princess is a popular mascara known for its volumizing and lengthening effects. Achieve dramatic lashes with this long-lasting and cruelty-free formula.,7.2,2ef4ed54-4001-49c2-b188-aab3cdb369c0,2024-06-30 01:08:57.200000+00:00,3.0,28.0 X 23.2 X 14.4,9.3
2.0,MVCFH27F,"beauty, eyeshadow",Glamour Beauty,20.0,44.0,Eyeshadow Palette with Mirror,3.28,3.0,"[{'date': '2024-05-23T08:56:21.618Z', 'rating': 4, 'comment': 'Very satisfied!', 'reviewerName': 'Liam Garcia', 'reviewerEmail': 'liam.garcia@x.dummyjson.com'}, {'date': '2024-05-23T08:56:21.618Z', 'rating': 1, 'comment': 'Very disappointed!', 'reviewerName': 'Nora Russell', 'reviewerEmail': 'nora.russell@x.dummyjson.com'}, {'date': '2024-05-23T08:56:21.618Z', 'rating': 5, 'comment': 'Highly impressed!', 'reviewerName': 'Elena Baker', 'reviewerEmail': 'elena.baker@x.dummyjson.com'}]",beauty,"The Eyeshadow Palette with Mirror offers a versatile range of eyeshadow shades for creating stunning eye looks. With a built-in mirror, it's convenient for on-the-go makeup application.",5.5,885682b9-8471-49ce-bd47-37268da1ff99,2024-06-30 01:08:57.204000+00:00,3.3,29.1 X 12.4 X 8.6,18.9
3.0,9EN8WLT2,"beauty, face powder",Velvet Touch,15.0,59.0,Powder Canister,3.82,8.0,"[{'date': '2024-05-23T08:56:21.618Z', 'rating': 5, 'comment': 'Very happy with my purchase!', 'reviewerName': 'Ethan Thompson', 'reviewerEmail': 'ethan.thompson@x.dummyjson.com'}, {'date': '2024-05-23T08:56:21.618Z', 'rating': 4, 'comment': 'Great value for money!', 'reviewerName': 'Levi Hicks', 'reviewerEmail': 'levi.hicks@x.dummyjson.com'}, {'date': '2024-05-23T08:56:21.618Z', 'rating': 5, 'comment': 'Highly impressed!', 'reviewerName': 'Hazel Gardner', 'reviewerEmail': 'hazel.gardner@x.dummyjson.com'}]",beauty,"The Powder Canister is a finely milled setting powder designed to set makeup and control shine. With a lightweight and translucent formula, it provides a smooth and matte finish.",18.1,dc056bfe-b42f-4a5e-8a90-a5fa0f074c34,2024-06-30 01:08:57.206000+00:00,4.7,11.1 X 24.2 X 10.7,12.3
4.0,O5IF1NTA,"beauty, lipstick",Chic Cosmetics,13.0,68.0,Red Lipstick,2.51,5.0,"[{'date': '2024-05-23T08:56:21.619Z', 'rating': 5, 'comment': 'Great product!', 'reviewerName': 'Leo Rivera', 'reviewerEmail': 'leo.rivera@x.dummyjson.com'}, {'date': '2024-05-23T08:56:21.619Z', 'rating': 4, 'comment': 'Very pleased!', 'reviewerName': 'Oscar Powers', 'reviewerEmail': 'oscar.powers@x.dummyjson.com'}, {'date': '2024-05-23T08:56:21.619Z', 'rating': 5, 'comment': 'Very pleased!', 'reviewerName': 'Carter Rivera', 'reviewerEmail': 'carter.rivera@x.dummyjson.com'}]",beauty,"The Red Lipstick is a classic and bold choice for adding a pop of color to your lips. With a creamy and pigmented formula, it provides a vibrant and long-lasting finish.",19.0,b5c04bd5-80fe-4f73-a003-2203f201f576,2024-06-30 01:08:57.209000+00:00,4.7,14.6 X 14.4 X 13.9,10.5
5.0,YUIIIP4W,"beauty, nail polish",Nail Couture,9.0,71.0,Red Nail Polish,3.91,9.0,"[{'date': '2024-05-23T08:56:21.619Z', 'rating': 5, 'comment': 'Very pleased!', 'reviewerName': 'Leo Rivera', 'reviewerEmail': 'leo.rivera@x.dummyjson.com'}, {'date': '2024-05-23T08:56:21.619Z', 'rating': 5, 'comment': 'Great product!', 'reviewerName': 'Evan Reed', 'reviewerEmail': 'evan.reed@x.dummyjson.com'}, {'date': '2024-05-23T08:56:21.619Z', 'rating': 4, 'comment': 'Highly recommended!', 'reviewerName': 'Evelyn Sanchez', 'reviewerEmail': 'evelyn.sanchez@x.dummyjson.com'}]",beauty,"The Red Nail Polish offers a rich and glossy red hue for vibrant and polished nails. With a quick-drying formula, it provides a salon-quality finish at home.",2.5,204d9753-1968-4dc4-b318-cfe2906b6589,2024-06-30 01:08:57.212000+00:00,4.7,29.1 X 8.1 X 10.9,8.8
6.0,DZM2JQZE,"fragrances, perfumes",Calvin Klein,50.0,17.0,Calvin Klein CK One,4.85,5.0,"[{'date': '2024-05-23T08:56:21.619Z', 'rating': 5, 'comment': 'Great value for money!', 'reviewerName': 'Sophia Brown', 'reviewerEmail': 'sophia.brown@x.dummyjson.com'}, {'date': '2024-05-23T08:56:21.619Z', 'rating': 3, 'comment': 'Very disappointed!', 'reviewerName': 'Madison Collins', 'reviewerEmail': 'madison.collins@x.dummyjson.com'}, {'date': '2024-05-23T08:56:21.619Z', 'rating': 1, 'comment': 'Poor quality!', 'reviewerName': 'Maya Reed', 'reviewerEmail': 'maya.reed@x.dummyjson.com'}]",fragrances,"CK One by Calvin Klein is a classic unisex fragrance, known for its fresh and clean scent. It's a versatile fragrance suitable for everyday wear.",0.3,0aaa4470-c8b1-4715-8e5a-338bb1665b8b,2024-06-30 01:08:57.216000+00:00,3.0,6.8 X 11.5 X 14.4,49.8
7.0,K71HBCGS,"fragrances, perfumes",Chanel,130.0,41.0,Chanel Coco Noir Eau De,2.76,4.0,"[{'date': '2024-05-23T08:56:21.619Z', 'rating': 1, 'comment': 'Disappointing product!', 'reviewerName': 'Lincoln Kelly', 'reviewerEmail': 'lincoln.kelly@x.dummyjson.com'}, {'date': '2024-05-23T08:56:21.619Z', 'rating': 4, 'comment': 'Great product!', 'reviewerName': 'Lincoln Kelly', 'reviewerEmail': 'lincoln.kelly@x.dummyjson.com'}, {'date': '2024-05-23T08:56:21.619Z', 'rating': 4, 'comment': 'Excellent quality!', 'reviewerName': 'Lucas Allen', 'reviewerEmail': 'lucas.allen@x.dummyjson.com'}]",fragrances,"Coco Noir by Chanel is an elegant and mysterious fragrance, featuring notes of grapefruit, rose, and sandalwood. Perfect for evening occasions.",18.6,2541151b-daa7-4e2d-a67f-6cdeaf86c76f,2024-06-30 01:08:57.220000+00:00,3.0,11.9 X 21.3 X 28.0,105.8
8.0,E70NB03B,"fragrances, perfumes",Dior,90.0,91.0,Dior J'adore,3.31,10.0,"[{'date': '2024-05-23T08:56:21.619Z', 'rating': 5, 'comment': 'Fast shipping!', 'reviewerName': 'Zoe Nicholson', 'reviewerEmail': 'zoe.nicholson@x.dummyjson.com'}, {'date': '2024-05-23T08:56:21.619Z', 'rating': 4, 'comment': 'Excellent quality!', 'reviewerName': 'Addison Wright', 'reviewerEmail': 'addison.wright@x.dummyjson.com'}, {'date': '2024-05-23T08:56:21.619Z', 'rating': 4, 'comment': 'Would buy again!', 'reviewerName': 'Clara Berry', 'reviewerEmail': 'clara.berry@x.dummyjson.com'}]",fragrances,"J'adore by Dior is a luxurious and floral fragrance, known for its blend of ylang-ylang, rose, and jasmine. It embodies femininity and sophistication.",17.4,693472ce-b6b3-436b-bc83-dd0ade951ef1,2024-06-30 01:08:57.223000+00:00,4.3,26.5 X 21.5 X 7.0,74.3
9.0,1NBFK980,"fragrances, perfumes",Dolce & Gabbana,70.0,3.0,Dolce Shine Eau de,2.68,5.0,"[{'date': '2024-05-23T08:56:21.619Z', 'rating': 4, 'comment': 'Very satisfied!', 'reviewerName': 'Xavier Wright', 'reviewerEmail': 'xavier.wright@x.dummyjson.com'}, {'date': '2024-05-23T08:56:21.619Z', 'rating': 1, 'comment': 'Poor quality!', 'reviewerName': 'Mila Hernandez', 'reviewerEmail': 'mila.hernandez@x.dummyjson.com'}, {'date': '2024-05-23T08:56:21.619Z', 'rating': 5, 'comment': 'Very happy with my purchase!', 'reviewerName': 'Sophia Brown', 'reviewerEmail': 'sophia.brown@x.dummyjson.com'}]",fragrances,"Dolce Shine by Dolce & Gabbana is a vibrant and fruity fragrance, featuring notes of mango, jasmine, and blonde woods. It's a joyful and youthful scent.",11.5,2d9625a8-49bf-44f7-a56d-6def9ac6d926,2024-06-30 01:08:57.225000+00:00,3.3,13.3 X 17.0 X 24.6,62.0
10.0,FFKZ6HOF,"fragrances, perfumes",Gucci,80.0,93.0,Gucci Bloom Eau de,2.69,10.0,"[{'date': '2024-05-23T08:56:21.620Z', 'rating': 5, 'comment': 'Great value for money!', 'reviewerName': 'Aria Parker', 'reviewerEmail': 'aria.parker@x.dummyjson.com'}, {'date': '2024-05-23T08:56:21.620Z', 'rating': 4, 'comment': 'Excellent quality!', 'reviewerName': 'Natalie Harris', 'reviewerEmail': 'natalie.harris@x.dummyjson.com'}, {'date': '2024-05-23T08:56:21.620Z', 'rating': 4, 'comment': 'Fast shipping!', 'reviewerName': 'Ava Harris', 'reviewerEmail': 'ava.harris@x.dummyjson.com'}]",fragrances,"Gucci Bloom by Gucci is a floral and captivating fragrance, with notes of tuberose, jasmine, and Rangoon creeper. It's a modern and romantic scent.",8.9,97d5165b-947a-4991-b47a-9abd317b9748,2024-06-30 01:08:57.227000+00:00,4.3,27.2 X 22.3 X 17.8,72.9
